County,Year,Jail.Population
Sullivan,2014,163
Sullivan,2015,151
Sullivan,2016,138
Sullivan,2017,137
Sullivan,2018,140
Sullivan,2019,150
Tioga,2010,79
Tioga,2011,82
Tioga,2012,80
Tioga,2013,86
Tioga,2014,73
Tioga,2015,61
Tioga,2016,77
Tioga,2017,79
Tioga,2018,61
Tioga,2019,56
Tompkins,2010,82
Tompkins,2011,86
Tompkins,2012,90
Tompkins,2013,91
Tompkins,2014,87
Tompkins,2015,92
Tompkins,2016,80
Tompkins,2017,76
Tompkins,2018,72
Tompkins,2019,61
Ulster,2010,301
Ulster,2011,301
Ulster,2012,324
Ulster,2013,290
Ulster,2014,303
Ulster,2015,255
Ulster,2016,252
Ulster,2017,271
Ulster,2018,247
Ulster,2019,212
Warren,2010,129
Warren,2011,139
Warren,2012,133
Warren,2013,128
Warren,2014,128
Warren,2015,130
Warren,2016,124
Warren,2017,117
Warren,2018,140
Warren,2019,105
Washington,2010,103
Washington,2011,85
Washington,2012,94
Washington,2013,121
Washington,2014,105
Washington,2015,92
Washington,2016,76
Washington,2017,87
Washington,2018,81
Washington,2019,70
Wayne,2010,129
Wayne,2011,132
Wayne,2012,108
Wayne,2013,109
Wayne,2014,115
Wayne,2015,121
Wayne,2016,98
Wayne,2017,89
Wayne,2018,93
Wayne,2019,68
Westchester,2010,1384
Westchester,2011,1465
Westchester,2012,1454
Westchester,2013,1320
Westchester,2014,1205
Westchester,2015,1100
Westchester,2016,1031
Westchester,2017,1040
Westchester,2018,1028
Westchester,2019,918
Wyoming,2010,56
Wyoming,2011,66
Wyoming,2012,63
Wyoming,2013,57
Wyoming,2014,65
Wyoming,2015,52
Wyoming,2016,49
Wyoming,2017,47
Wyoming,2018,56
Wyoming,2019,42
Yates,2010,48
Yates,2011,53
Yates,2012,49
Yates,2013,49
Yates,2014,47
Yates,2015,52
Yates,2016,46
Yates,2017,42
Yates,2018,42
Yates,2019,43
